Farmaco;Masa Molar Fármaco;Parametro de Solubilidad del Farmaco;Temperatura de Fusión (K);Entalpia de Fusión (kJ/mol);Volumen Molar del Fármaco;Solvente 1;Masa Molar Solv 1;Solvente 2;Masa Molar Solv 2;PS Solvente 1;PS Solvente 2;Volumen Molar Solventes 1;Volumen Molar Solventes 2;x_1;x_2;w_1;w_2;Temperatura de Estudio;x_3
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,440803909;0,559196091;0,35;0,65;283,15;0,00070800
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,440803909;0,559196091;0,35;0,65;288,15;0,00084900
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,440803909;0,559196091;0,35;0,65;293,15;0,00103000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,440803909;0,559196091;0,35;0,65;298,15;0,00121000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,440803909;0,559196091;0,35;0,65;303,15;0,00142000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,440803909;0,559196091;0,35;0,65;308,15;0,00168000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,440803909;0,559196091;0,35;0,65;313,15;0,00202000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,440803909;0,559196091;0,35;0,65;318,15;0,00234000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,493918807;0,506081193;0,4;0,6;278,15;0,00064500
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,493918807;0,506081193;0,4;0,6;283,15;0,00077200
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,493918807;0,506081193;0,4;0,6;288,15;0,00092800
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,493918807;0,506081193;0,4;0,6;293,15;0,00111000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,493918807;0,506081193;0,4;0,6;298,15;0,00134000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,493918807;0,506081193;0,4;0,6;303,15;0,00158000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,493918807;0,506081193;0,4;0,6;308,15;0,00185000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,493918807;0,506081193;0,4;0,6;313,15;0,00224000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,493918807;0,506081193;0,4;0,6;318,15;0,00259000
